id,name,price,link,shop,品牌,内存,CPU,销量
10058716320285,华星硕国行2025款16代英特尔酷睿i7大屏笔记本电脑高性能轻薄本大学生上网课设计学习商务办公游戏AI AI终端英特尔16pro+窄边全面屏+9D蓝光 32G运行+1T超速硬盘,1988.0,https://item.jd.com/10058716320285.html,驭先锋米梵专卖店,其他,32GB,Intel i7,285
10148776137558,联想拯救者Y7000P 2025补贴20%游戏笔记本电脑酷睿i7满血4060独显 可选昭阳X3核显大学生工作站CAD建模 i7-13620H 32G内存 1TB固态升级X3 全新升级 官方正品丨1w+,5049.75,https://item.jd.com/10148776137558.html,联想思凯乐专卖店,联想,32GB,Intel i7,558
10147538394663,联想笔记本电脑国家补贴20%Pro升级版14.1英寸轻薄游戏本大学生剪辑设计办公异能者笔记本手提电脑 热销 N100 16G+512G固态 P14H,2399.0,https://item.jd.com/10147538394663.html,联想有点授权专卖店,联想,16GB,Intel 其他,663
10130617805552,联想小新Pro14笔记本电脑  2025可选酷睿i5高性能超轻薄本 设计扬天v办公大学生游戏本air14异能者可选 N100 16G内存 512G高速固态 P14H IPS全高清屏 满血性能...,2399.0,https://item.jd.com/10130617805552.html,联想福本专卖店,联想,16GB,Intel i5,552
10148410852363,UIG拯救系列国行2025新英特尔酷睿i964G笔记本电脑轻薄本学生办公高性能游戏本金榜设计AI手提本 拯救系列酷睿i9级/背光指纹解锁英雄联盟...,1488.0,https://item.jd.com/10148410852363.html,UIG电脑旗舰店,其他,964GB,Intel i9,363
10117072412600,戴睿dere极光系列2025新品+2.2K超清屏可选高颜值笔记本电脑轻薄本 便携学生游戏商务办公网课学习电脑 Pro版超薄高配英特尔丨办公追剧游戏 16G内存丨256G固态基础,1599.0,https://item.jd.com/10117072412600.html,戴睿笔记本旗舰店,其他,16GB,其他,600
10091980884428,i5 i7四核惠普 联想 戴尔 华硕二手笔记本电脑游戏设计 办公笔记本电脑12 14 15 17寸 14寸联想笔记本电脑 官方套餐 9成新,498.0,https://item.jd.com/10091980884428.html,瑞程二手电脑专营店,联想,8GB,Intel i5,428
100154447579,小米笔记本电脑国家补贴20%红米REDMI Book 14焕新版轻薄本高性能酷睿i5 16G 512G 25年新品上市,3299.0,https://item.jd.com/100154447579.html,小米京东自营旗舰店,小米,16GB,Intel i5,579
100134301565,联想Lenovo 异能者生态  笔记本电脑 国家补贴20% P14H 14.1英寸轻薄本办公本商务 N100 8G 256G,2089.0,https://item.jd.com/100134301565.html,异能者 ERAZER京东自营旗舰店,联想,8GB,Intel 其他,565
10079114602099,HUATWAI国行2024全新16代英特尔+酷睿i7独显笔记本电脑高清IPS屏学习商用办公大学生手提AI游戏本 AI轻薄本英特尔16pro+指纹背光+玫瑰金 8G运行内...,1078.0,https://item.jd.com/10079114602099.html,HUATWAI电脑办公旗舰店,其他,8GB,Intel i7,99
